0.24	-0.1608	-0.1608	-1.768e-06	4.0046e+24	2e+27	293.3	48319	41347	82.79	1200	-0.085429	-0.073103	-0.00014637	-0.0021216
0.245	-0.16415	-0.16415	-1.817e-06	4.0049e+24	2e+27	293.31	47714	41344	82.79	1200	-0.086696	-0.075123	-0.00015043	-0.0021804
0.25	-0.1675	-0.1675	-1.8663e-06	4.0051e+24	2e+27	293.33	47124	41342	82.79	1200	-0.087949	-0.077157	-0.00015451	-0.0022396
0.255	-0.17085	-0.17085	-1.916e-06	4.0054e+24	2e+27	293.34	46550	41339	82.79	1200	-0.089188	-0.079205	-0.00015862	-0.0022992
0.26	-0.1742	-0.1742	-1.9659e-06	4.0056e+24	2e+27	293.36	45989	41336	82.79	1200	-0.090413	-0.081265	-0.00016276	-0.0023591
0.265	-0.17755	-0.17755	-2.0162e-06	4.0059e+24	2e+27	293.37	45443	41334	82.79	1200	-0.091625	-0.083339	-0.00016692	-0.0024195
0.27	-0.1809	-0.1809	-2.0669e-06	4.0062e+24	2e+27	293.39	44910	41331	82.79	1200	-0.092823	-0.085425	-0.00017112	-0.0024802
0.275	-0.18425	-0.18425	-2.1178e-06	4.0065e+24	2e+27	293.41	44390	41328	82.79	1200	-0.094009	-0.087524	-0.00017533	-0.0025414
0.28	-0.1876	-0.1876	-2.169e-06	4.0068e+24	2e+27	293.43	43882	41325	82.79	1200	-0.095183	-0.089635	-0.00017957	-0.0026029
0.285	-0.19095	-0.19095	-2.2206e-06	4.0071e+24	2e+27	293.44	43386	41321	82.79	1200	-0.096344	-0.091758	-0.00018384	-0.0026647
0.29	-0.1943	-0.1943	-2.2724e-06	4.0074e+24	2e+27	293.46	42902	41318	82.79	1200	-0.097492	-0.093893	-0.00018813	-0.0027269
0.295	-0.19765	-0.19765	-2.3246e-06	4.0078e+24	2e+27	293.48	42429	41315	82.79	1200	-0.098629	-0.096039	-0.00019245	-0.0027895
0.3	-0.201	-0.201	-2.377e-06	4.0081e+24	2e+27	293.5	41966	41311	82.79	1200	-0.099754	-0.098197	-0.00019679	-0.0028524
0.305	-0.20435	-0.20435	-2.4297e-06	4.0085e+24	2e+27	293.52	41514	41307	82.79	1200	-0.10087	-0.10037	-0.00020116	-0.0029157
0.31	-0.2077	-0.2077	-2.4827e-06	4.0088e+24	2e+27	293.54	41071	41303	82.79	1200	-0.10197	-0.10255	-0.00020554	-0.0029793
0.315	-0.21105	-0.21105	-2.536e-06	4.0092e+24	2e+27	293.56	40639	41300	82.79	1200	-0.10306	-0.10474	-0.00020996	-0.0030432
0.32	-0.2144	-0.2144	-2.5896e-06	4.0096e+24	2e+27	293.58	40215	41296	82.79	1200	-0.10414	-0.10694	-0.00021439	-0.0031075
0.325	-0.21775	-0.21775	-2.6434e-06	4.01e+24	2e+27	293.6	39801	41291	82.79	1200	-0.10521	-0.10915	-0.00021885	-0.0031721
0.33	-0.2211	-0.2211	-2.6975e-06	4.0104e+24	2e+27	293.62	39395	41287	82.79	1200	-0.10627	-0.11137	-0.00022332	-0.003237
0.335	-0.22445	-0.22445	-2.7519e-06	4.0109e+24	2e+27	293.65	38998	41283	82.79	1200	-0.10732	-0.1136	-0.00022782	-0.0033022
0.34	-0.2278	-0.2278	-2.8065e-06	4.0113e+24	2e+27	293.67	38609	41278	82.79	1200	-0.10835	-0.11585	-0.00023235	-0.0033678
0.345	-0.23115	-0.23115	-2.8614e-06	4.0118e+24	2e+27	293.69	38227	41273	82.79	1200	-0.10938	-0.1181	-0.00023689	-0.0034336
0.35	-0.2345	-0.2345	-2.9165e-06	4.0122e+24	2e+27	293.71	37853	41269	82.79	1200	-0.1104	-0.12036	-0.00024145	-0.0034998
